Latitude,Longitude,Murder,Theft,Rape,Eve tease,Kidnapping,Accidents,Camera
11.63535893,69.16158558,7,15,2,11,0,39,1
16.83137653,69.16193302,8,44,7,10,9,33,1
27.91264145,69.16211648,10,93,0,9,7,23,1
28.6521986,69.16217239,2,3,8,25,8,15,1
11.93008867,69.16232461,1,53,7,12,5,10,1
20.66695588,69.16312656,5,90,1,2,15,37,1
11.03286066,69.16339699,1,88,1,13,5,44,0
24.15387255,69.16353288,7,90,10,12,4,0,0
21.09930271,69.16367704,1,14,10,11,12,24,0
13.87191684,69.16377122,8,91,0,5,12,21,0
24.52595278,69.16398317,2,93,2,6,4,6,1
13.43141538,69.16415139,2,61,7,8,6,21,1
21.69739845,69.16458934,10,36,10,24,6,32,0
28.45980382,69.16470133,8,99,0,15,12,29,1
23.77799923,69.16475019,9,29,0,6,5,32,1
24.49502382,69.16476402,8,42,3,16,1,60,1
24.87442263,69.16530202,1,11,7,15,4,40,1
20.06416094,69.16534132,5,18,8,4,12,42,0
21.14616987,69.1661358,4,65,1,22,7,47,0
13.54816956,69.16700253,6,5,5,1,8,17,0
17.33254401,69.16706569,8,6,8,2,8,60,1
24.36123006,69.16715899,7,32,6,5,5,5,0
29.47255555,69.16776093,4,49,1,4,3,36,0
18.06971892,69.16778827,6,57,8,18,8,44,1
23.81154632,69.16794918,10,23,4,17,15,21,1
27.28656791,69.16802444,6,47,3,22,13,17,1
24.07982383,69.1684252,1,11,3,21,7,53,0
22.05982803,69.16844213,9,49,4,11,12,36,1
19.07771577,69.16883345,2,80,3,15,8,34,0
17.29877966,69.16897971,6,37,3,20,6,49,0
26.02683842,69.16902985,6,98,1,1,11,41,0
25.29906992,69.16924752,5,4,2,12,6,12,0
20.64280994,69.16926227,3,62,1,20,12,43,1
30.32202725,69.16962409,2,42,3,24,4,14,1
22.50159002,69.16982126,8,94,1,21,9,49,1
18.90647749,69.16994451,6,66,9,9,11,54,0
22.32800998,69.17006577,3,60,9,6,12,33,1
14.53617494,69.17018258,0,64,6,23,12,34,1
21.55213715,69.17029941,5,32,7,0,12,42,1
17.21901118,69.17048436,2,2,5,22,12,19,1
30.09451178,69.17084571,9,81,2,13,11,19,0
18.03386441,69.17087606,3,34,7,15,4,32,0
17.13323415,69.17122825,6,26,9,16,9,21,1
14.33871279,69.17144537,1,66,9,18,0,16,1
20.22252005,69.17146259,7,53,9,13,11,19,1
18.41296817,69.1717652,7,7,1,19,1,55,0
29.1029668,69.17178645,1,21,8,18,14,4,0
11.68600879,69.17224168,5,92,0,2,13,25,0
20.32354656,69.17228938,4,14,4,24,11,45,0
27.42624453,69.17230731,7,79,1,24,2,48,0
30.27873187,69.1724233,7,8,1,5,12,48,0
15.8324106,69.17246524,5,84,3,9,5,4,0
13.80643664,69.17268664,5,73,1,4,13,23,1
21.9169602,69.17331697,2,48,3,8,14,25,1
15.7954774,69.17337533,5,1,10,11,3,32,1
21.64269279,69.17337965,2,46,7,20,10,23,1
27.30031032,69.17353091,3,92,4,2,15,5,1
12.40139068,69.17353593,3,90,2,2,14,59,1
12.4535832,69.17358278,2,72,9,3,9,19,0
25.1132944,69.17372348,6,98,2,6,9,53,0
13.70959947,69.17394847,2,49,6,0,12,29,0
21.85467948,69.17396837,2,32,5,23,10,44,1
14.52265755,69.17426609,10,95,5,8,10,30,1
19.60744365,69.17476361,10,49,1,12,10,19,1
27.43747897,69.17480763,8,9,8,24,0,50,1
28.71379092,69.17524851,1,64,4,17,13,42,1
18.82845457,69.1754724,6,48,5,9,0,37,0
18.58836803,69.17551687,1,8,1,20,13,56,1
17.15394426,69.17555376,0,40,1,8,4,15,1
22.41106192,69.17570203,8,95,1,10,10,23,0
12.39675976,69.1761332,1,79,5,8,8,49,0
19.09661606,69.17624306,5,48,3,19,13,15,0
26.87964478,69.17634157,3,88,7,22,4,1,1
20.71221471,69.17663745,4,9,4,8,12,43,1
26.84154767,69.17707979,8,14,6,18,12,2,0
28.58875616,69.17715871,8,22,3,10,0,32,0
14.05705396,69.177656,8,60,4,21,6,6,0
23.3134657,69.17769807,2,16,7,20,11,44,1
30.40521849,69.17772037,0,10,10,13,7,60,0
26.89207705,69.17774292,5,41,6,24,2,5,0
20.53084844,69.17778091,8,97,4,3,12,15,0
19.69499205,69.17794669,2,20,9,5,0,19,1
22.82471179,69.17795194,10,59,5,7,8,44,1
16.27187236,69.1780838,3,48,5,14,2,21,1
15.80057897,69.17823208,1,48,2,2,11,43,1
22.54824995,69.17874254,3,63,9,19,11,35,1
16.14947308,69.17890665,7,91,4,20,8,21,1
27.6445576,69.17899545,9,69,1,22,13,25,1
26.37030817,69.17907803,6,16,9,5,7,13,1
15.87821777,69.17915692,8,36,3,13,10,59,0
24.74456986,69.17949107,5,79,2,24,11,27,1
20.93975053,69.17992241,9,67,7,7,13,41,0
17.71101582,69.17998097,3,97,4,10,2,54,0
13.16054499,69.18006923,6,60,7,10,13,19,1
19.29613241,69.18022293,9,36,2,7,9,7,0
20.60207759,69.18145008,7,60,9,12,11,55,1
25.61259593,69.18160417,8,3,6,12,12,38,1
22.11792778,69.18195661,0,28,5,14,5,49,1
23.10950321,69.18196656,9,17,3,19,4,29,1
16.58699652,69.18211756,2,49,7,15,7,2,0
20.89258786,69.18247218,3,26,4,24,9,41,1
28.30568599,69.18253163,6,58,0,2,5,23,1
29.72193968,69.18256805,4,32,7,9,7,51,1
20.46036089,69.18257083,8,62,8,10,8,38,0
13.50462043,69.18312753,7,78,0,4,8,20,1
27.23928926,69.18371346,3,41,7,14,5,15,0
26.77159588,69.18393664,4,91,1,2,14,43,0
27.13057673,69.18421654,3,64,9,24,15,36,0
20.57134973,69.18440723,7,73,5,16,3,1,0
26.6430582,69.18446926,1,32,4,20,6,5,0
27.26766658,69.18463593,4,22,6,23,4,35,0
28.73769291,69.1851062,6,61,8,16,4,38,0
21.04295256,69.185588,0,0,4,9,1,36,0
27.97032232,69.1857112,4,20,7,10,3,47,1
19.69585316,69.18571805,5,67,10,4,11,8,0
29.2289078,69.18638363,0,16,9,17,7,58,0
18.98118998,69.18648824,9,48,6,20,3,23,1
25.54722116,69.18661442,6,79,1,18,7,19,1
28.45416603,69.18706761,7,66,2,25,8,12,1
29.44792351,69.18721949,7,77,0,1,3,22,1
30.11085853,69.18726176,3,48,2,20,11,35,1
14.55721641,69.18731955,2,87,5,9,8,42,0
21.20624625,69.18733843,0,43,0,5,8,31,1
11.56622062,69.1874852,2,76,8,20,11,28,1
17.65178196,69.18751072,9,87,7,7,5,45,0
14.66195712,69.18753593,3,30,7,6,6,4,0
14.18282375,69.18776373,1,10,2,13,10,53,1
12.34875808,69.18795,9,4,8,3,3,53,0
13.8667572,69.18814892,0,27,4,10,15,43,1
22.56038986,69.18825389,2,57,7,5,14,31,0
13.71707647,69.18831844,8,35,4,1,4,10,1
26.261234,69.1883837,1,84,8,21,6,9,0
21.99687264,69.18851716,3,8,9,23,12,25,1
13.88072296,69.18869453,9,42,2,20,10,33,1
30.00577158,69.18891458,10,97,4,20,3,54,1
19.21230052,69.18937128,3,25,7,11,2,52,0
13.72267914,69.18941525,5,99,1,9,12,51,0
22.34218625,69.18942997,4,49,1,20,12,24,0
16.41829952,69.18949656,6,88,3,21,15,45,1
11.48426087,69.18976629,3,71,2,11,13,13,0
25.48452591,69.18987236,4,63,10,0,14,41,1
15.40810401,69.19003357,3,82,9,9,6,23,0
14.76985722,69.190084,2,81,6,19,15,43,0
27.11681662,69.19019167,2,57,4,5,5,30,0
11.78778545,69.19046005,1,84,6,11,15,12,0
27.40838799,69.19047361,7,62,0,9,7,5,1
25.34245469,69.19055459,0,77,8,21,3,20,1
27.70399442,69.19058846,7,72,9,20,4,43,1
28.58846924,69.19077218,2,73,9,3,10,34,0
29.67143258,69.19077802,2,1,0,17,5,17,0
27.6370337,69.19099592,6,56,6,3,0,37,0
23.41104099,69.19108706,1,85,6,21,4,59,1
21.1274543,69.1911641,5,53,7,19,13,23,1
30.05714201,69.19134021,1,99,5,9,11,7,1
16.38242142,69.19138918,6,42,6,17,8,4,1
25.8148766,69.1914891,5,30,9,13,2,41,1
27.95462755,69.19166903,8,80,0,15,13,47,1
16.34938016,69.19176089,7,11,8,15,2,12,0
19.23317754,69.19177588,1,75,7,15,3,35,0
26.4022737,69.19189415,0,2,6,11,0,57,0
12.74525434,69.192095,2,54,9,14,15,2,0
23.77268798,69.19213426,1,31,9,16,11,54,0
11.62484877,69.19226155,8,3,1,20,4,25,0
23.21081629,69.19302613,5,7,9,10,6,24,0
24.62691119,69.19303068,5,65,1,16,8,18,0
29.32621243,69.19361464,3,79,0,4,3,17,0
21.87505039,69.19378786,8,74,2,10,5,15,0
28.51943184,69.19388989,2,2,6,10,8,2,0
14.87760909,69.1941266,3,48,7,19,5,28,1
17.55803976,69.19457333,4,52,2,8,2,7,1
16.24274887,69.19471785,8,64,6,13,1,1,0
22.37604508,69.19480693,6,45,6,7,10,49,1
12.38427421,69.19483384,1,84,0,24,9,54,1
15.91316578,69.19580534,7,92,8,23,8,46,1
18.36986247,69.19606072,9,80,6,18,5,39,0
19.59603335,69.19659467,2,68,6,13,9,47,1
20.00094093,69.1967917,4,41,6,15,14,46,0
26.44117759,69.19716665,7,60,2,6,11,11,1
25.66434033,69.19721353,10,18,1,8,7,21,0
25.78271819,69.19734679,8,15,3,5,10,49,1
23.2617123,69.19747612,1,18,2,10,5,17,1
27.28652931,69.1976764,1,46,0,25,5,23,1
29.27053266,69.19829009,4,92,0,5,7,5,1
17.28774656,69.19854607,9,64,3,12,12,24,1
13.7738033,69.19876928,5,81,5,2,4,59,1
26.43240473,69.19885003,4,20,3,21,10,32,0
23.71928548,69.19901632,6,55,9,16,14,22,1
22.8523967,69.19905485,2,16,4,25,6,47,1
15.26607768,69.19945465,8,99,5,22,10,59,1
24.64724899,69.1995203,3,18,8,20,5,17,0
23.41250829,69.19962482,9,42,5,6,6,27,1
24.16868983,69.20026568,7,53,3,10,4,6,1
20.10313767,69.20032473,2,62,2,18,1,56,0
13.47626331,69.2007909,3,50,4,16,10,22,1
24.63777013,69.2009956,7,99,7,0,9,10,1
24.15030198,69.20124066,7,11,3,18,2,19,0
16.29853442,69.20145489,3,14,8,1,5,43,0
22.01007931,69.2017255,9,36,5,17,2,29,0
11.81539454,69.20179517,4,12,7,25,4,3,1
20.11321643,69.20195348,3,12,5,17,2,59,1
25.98336477,69.2020103,3,90,4,5,13,54,1
22.24382176,69.20224713,10,26,2,23,11,28,1
15.49577452,69.20239676,2,1,7,8,10,7,0
14.67817953,69.20268104,6,32,10,20,12,55,1
12.90363052,69.20300938,8,69,6,9,13,33,0
16.55469666,69.20327168,8,58,3,13,15,57,1
11.04221381,69.20333344,9,88,6,12,14,31,1
29.77409526,69.20339496,9,27,5,21,14,8,1
23.48133505,69.20342197,9,51,8,20,8,45,0
20.02869211,69.20357348,5,78,2,14,15,52,1
16.02790164,69.2036118,4,30,3,19,11,43,0
25.62100557,69.20419107,6,19,4,5,1,19,1
23.66666753,69.20464135,2,70,9,8,2,0,0
23.4518399,69.2047531,7,28,5,16,5,46,0
20.90501734,69.20498079,2,96,3,20,5,54,1
11.10944026,69.20505417,4,96,2,2,9,13,1
23.3667414,69.20522085,9,66,5,7,7,60,0
14.41741331,69.20542699,10,2,4,3,6,20,0
20.38754673,69.20550647,8,66,3,10,5,5,0
28.97673524,69.20566679,5,88,6,6,7,12,1
25.96691167,69.20613362,4,15,6,6,12,49,0
26.36836322,69.20685229,7,12,6,18,2,26,0
19.90610086,69.2083624,0,87,6,12,10,34,0
15.60515827,69.20863981,2,7,9,12,10,9,1
22.62960109,69.20884711,7,36,2,14,6,59,1
12.41954542,69.20890898,1,57,8,2,3,54,1
26.16319758,69.20892333,10,14,7,23,2,12,1
14.32699796,69.20912389,5,92,2,17,10,23,1
18.2774021,69.20922773,3,50,9,19,13,56,1
22.24877796,69.209519,7,83,2,7,9,48,0
21.02183535,69.20962585,4,11,2,12,2,56,1
15.01301691,69.20963644,9,57,9,4,14,24,1
22.19138532,69.20975819,4,19,7,23,1,7,1
22.78391929,69.21026727,5,65,5,5,9,49,1
28.035635,69.21068522,2,68,10,5,3,36,0
28.81098576,69.21071782,4,64,3,10,7,46,0
28.92847616,69.21103317,10,4,0,22,13,56,0
28.25869772,69.21108656,8,17,0,13,14,59,1
17.04111293,69.21113879,4,10,5,10,5,8,1
29.70327783,69.21115183,8,58,4,3,3,9,1
20.23307428,69.21119268,3,13,6,9,14,38,1
11.55557147,69.21144712,3,46,8,10,10,31,1
13.79264517,69.21161265,6,61,1,0,6,22,1
27.96655446,69.21179369,4,23,4,13,13,23,1
13.61253893,69.21183316,1,11,2,25,13,5,0
20.69188739,69.2118594,9,88,7,24,2,33,1
18.66761403,69.21199451,1,71,9,12,8,24,0
29.32719483,69.21213656,4,13,6,1,1,1,1
16.53883345,69.21267455,8,54,5,3,2,2,0
22.40541774,69.21292678,9,65,4,17,9,25,0
29.24386033,69.21312111,2,46,9,5,12,18,0
11.05650216,69.21335652,9,44,0,22,5,45,0
23.77501009,69.2135527,4,96,9,10,7,37,1
25.11317135,69.21360295,6,11,4,7,5,42,1
21.79955431,69.21365287,7,40,4,22,11,52,1
19.07379507,69.21376539,3,31,6,5,2,36,0
16.28527245,69.21377981,7,72,2,1,9,31,1
13.10492807,69.21393697,9,75,1,18,14,26,1
26.82489364,69.21404033,6,64,3,16,7,14,1
26.51904538,69.21412174,8,69,10,8,6,8,1
18.69327538,69.21436853,0,24,5,23,15,22,1
13.23765443,69.21456631,4,62,8,1,14,9,1
24.96959736,69.21466797,9,51,7,14,5,20,0
23.91690666,69.21466828,7,20,7,2,1,4,0
13.66666805,69.21475583,2,55,7,17,13,59,0
13.24923368,69.21490394,8,52,3,13,7,35,0
11.38860408,69.21491654,7,11,3,7,4,58,1
25.72830188,69.215096,10,71,1,7,0,29,1
24.15077006,69.21513013,5,52,5,11,11,13,0
12.63556455,69.21515572,4,44,2,1,13,26,0
13.13729158,69.21540907,3,59,10,5,12,17,0
28.62572269,69.21542733,5,88,2,13,5,8,0
29.23056355,69.21545698,8,69,3,5,3,36,1
11.53158877,69.21567494,4,9,1,20,2,34,1
12.42119717,69.21584458,2,45,1,10,8,52,0
24.6263169,69.21630419,5,94,7,17,8,16,0
21.09306772,69.21686334,3,57,6,2,11,45,1
14.36563314,69.21716449,8,46,1,12,1,47,1
30.05884317,69.21724647,5,40,5,5,11,55,0
20.42468767,69.21787807,0,64,3,18,12,35,0
23.98205052,69.21804306,2,19,1,17,6,28,0
13.98080358,69.21829976,7,88,3,6,1,22,1
22.93878955,69.21857568,5,36,3,22,2,53,1
29.37587916,69.21876883,2,69,10,3,1,33,0
27.91715772,69.2190124,3,63,2,13,1,0,1
12.09562876,69.21972067,3,30,2,14,10,19,0
19.34327406,69.21983399,5,66,4,3,15,33,0
25.20900546,69.22003149,1,35,9,18,5,8,1
26.50367117,69.22046756,1,74,1,15,7,7,1
22.09726414,69.2206131,10,24,2,12,14,23,1
23.85861186,69.22066741,6,54,0,7,0,31,1
28.85165316,69.22072684,6,41,3,20,12,40,0
29.09465401,69.22098215,6,97,5,24,3,45,0
29.49132515,69.2213814,9,34,4,23,6,32,1
17.78456702,69.22174793,9,85,3,17,13,37,0
18.57198415,69.22192925,9,75,1,18,15,55,1
21.59777507,69.22205999,4,72,9,17,4,10,0
23.57851464,69.22211376,4,57,5,22,1,38,0
16.90142193,69.22216903,1,76,5,8,1,2,0
21.84867911,69.22222813,1,20,7,8,10,39,0
29.72965371,69.22238375,2,69,3,24,6,24,1
21.8607407,69.22286841,5,35,5,9,11,18,0
24.31742545,69.22337893,9,31,6,13,4,11,0
27.34714019,69.22346898,1,95,1,11,4,31,1
10.89139218,69.22349821,6,60,2,3,2,42,0
10.76961039,69.22393863,6,94,3,23,10,22,1
16.98775183,69.22404082,6,75,8,14,5,54,0
14.70184212,69.22439544,7,14,5,22,15,44,0
21.50048345,69.22495649,0,67,4,9,11,24,0
26.2977862,69.22521517,3,42,8,10,5,28,1
20.50463907,69.22541834,2,47,7,5,2,24,1
23.61577539,69.22553194,4,40,9,11,1,16,0
25.74032939,69.22567576,1,92,9,2,5,51,0
17.64870372,69.22588493,8,56,6,8,4,14,0
18.22982983,69.22620441,0,14,5,4,3,56,1
23.21136455,69.2263984,6,56,1,24,4,33,0
21.21494118,69.22673613,6,72,10,0,15,18,1
16.80085902,69.22701438,7,98,5,14,7,51,1
26.69474033,69.227314,8,9,3,0,2,43,1
28.75804917,69.22778737,6,78,10,21,10,40,0
28.12023074,69.2278538,2,47,4,8,12,9,0
19.47462903,69.22854144,1,32,10,19,4,1,0
12.85655979,69.22863673,1,68,2,1,4,55,0
17.51347077,69.22868123,2,23,8,15,10,18,1
24.60007724,69.2288679,9,91,7,21,2,8,0
27.90542743,69.22888984,7,61,4,17,3,25,1
26.06120779,69.22894823,7,62,9,17,10,30,0
25.90316282,69.22913466,10,10,8,2,12,26,1
11.78629148,69.22913484,8,81,8,4,1,38,1
26.72100683,69.22916058,6,100,2,25,9,57,1
12.15294904,69.22934858,8,38,6,10,13,32,0
15.4593867,69.22964319,4,62,10,9,3,49,1
11.2446859,69.22968449,1,73,7,23,15,56,0
27.46356806,69.22973874,9,32,1,24,9,7,0
12.80365489,69.22983889,10,78,10,24,12,31,1
20.75348082,69.22995366,5,24,8,2,7,10,1
17.94711492,69.23010168,2,87,4,2,14,35,0
20.58399884,69.23070108,6,14,7,13,3,13,1
23.1998275,69.23073008,8,94,7,22,12,35,0
27.93395488,69.23098997,9,76,6,20,10,60,1
14.66400404,69.23110849,6,32,6,17,3,8,0
